Име,Име на англиски,Религија на која припаѓа објектот,Веб страна,Работно време,Телефон,Емаил,Ид,Лат,Лон
Теодор Тирон,null,Христијанство,null,null,null,null,2574272024,42.1760396,22.2929614,
Св.Тројца,Sv.Trojca,Христијанство,null,null,null,null,924623193,41.6350875,22.4677492,
Зејнел Абидин-пашина џамија,Zeynel Abidin Pasha Mosque,Ислам,null,null,null,null,3011066257,41.116488,20.800119,
Dzamija,Mosque,null,null,null,null,null,4502468090,41.9237954,20.9163298,
Стефан Наумов-Стив,Stefan Naumov-Stiv,null,null,null,null,null,2316156278,41.024615,21.3368929,
St. John Kaneo,null,Христијанство,null,null,null,null,10979418774,41.1111362,20.7886924,
Св. Богородица Балаклија - манастир,null,Христијанство,null,null,null,null,3695321380,41.9659677,22.7595526,
Прометеј,Prometheus,null,null,null,null,null,4183631289,41.993303,21.4337226,
Свети Тројца Архиереи,null,Христијанство,null,null,null,null,5405804948,41.0881175,20.8227937,
St Nicholas Church,null,null,null,null,null,null,6631161986,41.2395882,20.5896518,
Св. Никита,null,Христијанство,null,null,null,null,1734617087,42.1076532,21.3799578,
Свети Јован Крстител,null,Христијанство,null,null,null,null,6275187296,42.038639,21.4470962,
Св. Атанасиј,St Athanasius Church,Христијанство,null,null,null,null,373488475,41.8085051,20.7881466,
Костурница,Kosturnica,null,null,null,null,null,382635381,41.4325212,22.0228463,
Dane kraptzew,null,null,null,null,null,null,9200216569,42.0043082,21.4185013,
Св.Петка,null,Христијанство,null,null,null,null,568027812,41.9289057,21.5229042,
Џамија Никиштане,null,Ислам,null,null,null,null,1734566388,42.0660807,21.3357012,
Свети Наум Охридски Чудотворец,Monument to St. Naum of Ohrid,null,null,null,null,null,2759263738,41.1122955,20.7990226,
PMK301 / PH-KXL,null,null,null,null,null,null,7473959214,41.9779001,21.6157628,
Петре Гончески - Гиле,null,null,null,null,null,null,5551410941,41.1752843,20.6781067,
Бањичко Кале,Banjica Fortress,null,null,null,null,null,6535106716,41.6952366,21.628172,
Ердован Шабаноски,null,null,null,null,null,null,7564125587,41.9767167,21.1675604,
Лихнид,null,null,null,null,null,null,390757439,41.1155576,20.7914836,
Sveti Spiridon,null,null,null,null,null,null,11038699139,42.1493837,21.1306996,
Св. Троица,St. Trinity,Христијанство,null,null,null,null,5327471601,41.006774,21.3415263,
Дрини дент,null,null,null,Mo-Fr 10:00-17:00; Sa 09:00-14;00,+389 46 781 143,null,10204019572,41.1756353,20.6791018,
Sv. Spas-Kuckovo,null,Христијанство,null,null,null,null,1734405545,42.0592027,21.3083108,
Црква „Св. Великомаченик Георгиј“,null,Христијанство,null,null,null,null,2884502205,41.9783403,21.496101,
Борка Талески-Модерното / Лазо Филиповски-Лавски,Borka Taleski / Lazo Filipovski,null,null,null,null,null,4306447780,41.3661079,21.6749495,
Sultana,null,null,null,null,null,null,8901338318,41.6560282,21.0216359,
Albanian Mother,null,null,null,null,null,null,8901349094,41.5964956,20.9510739,
Хаџикостова кула,Hadji Kostov Tower,null,null,null,null,null,5055444426,42.0768628,22.1822635,
Стара Рампа,null,null,null,null,null,null,4266031693,41.986749,21.4369668,
Блаже Конески,null,null,null,null,null,null,4575841429,41.3451329,21.5506707,
Сергеј Есенин,null,null,null,null,null,null,4972835907,41.1736526,20.6783749,
Museum Strumica,null,null,null,null,null,null,9241877277,41.4354106,22.6364291,
Ослободителите на Скопје,Monument to the Liberators of Skopje,null,null,null,null,null,8433354043,41.9998632,21.4292436,
Bela Kula,null,Ислам,null,null,null,null,10077532396,41.5186764,20.9627469,
Sedlarevo Mosque,null,Ислам,null,null,null,null,10951472385,41.8825844,21.1272696,
Споменик на Револуцијата,Monument of the Revolution,null,null,null,null,null,495558836,41.1776616,20.679835,
Вејце,null,null,null,null,null,null,8677386085,42.0673767,20.9185104,
Црква „Рождество на Пресвета Богородица“,null,Христијанство,null,null,null,null,3668592669,41.9769543,21.408415,
Ацо Ангеловски,null,null,null,null,null,null,7508523395,42.022416,21.5476216,
Konjuh,null,null,null,null,null,null,5722266446,42.1003011,21.9665342,
Vardarski Rid,null,null,null,null,null,null,9241915460,41.1488082,22.5220207,
Св. Мина,null,Христијанство,null,null,null,null,3672030302,41.80247,20.8071214,
Масакр во Ваташа,Vatasha Massacre,null,null,null,null,null,7626158238,41.4014262,22.0284286,
Евангелска црква Струга,null,Христијанство,null,null,null,null,10203858685,41.1757351,20.6757298,
Muftinia e Kërçovës,null,Ислам,null,null,null,null,10077537272,41.5160132,20.9641748,
Споменик на Дојрана,null,null,null,null,null,null,7124138432,41.1857198,22.7227512,
Црква Св. Ѓoрѓијa,St. Gjorgjija Church,Христијанство,null,null,null,null,1810969277,41.1175675,20.813755,
Два Коња,null,null,null,null,null,null,2360747213,41.1458586,22.5001795,
Цоцев Камен,Cocev Kamen,null,null,null,null,null,2373710718,42.0836218,21.9862589,
Црква Св. Николе,null,Христијанство,null,null,null,null,3687056616,41.6645167,20.7334014,
Evangelic-Methodist Church,null,Христијанство,null,null,null,null,1790461639,41.3809777,22.812212,
Пресвета Богородица,null,Христијанство,null,null,null,null,1850567836,42.0719506,21.4487798,
Mirče Acev Bataljon,null,null,https://en.m.wikipedia.org/wiki/People%27s_Liberation_Army_of_Macedonia,null,null,null,6563726510,41.3747079,20.7630424,
Нада Филева,Nada Fileva,null,null,null,null,null,9200215821,41.1141534,20.798276,
Црква Св. Никол,null,Христијанство,null,null,null,null,10188836793,41.6936732,20.723677,
Гоце Делчев (Биста),Goce Delchev,null,null,null,null,null,3695208787,41.9668611,22.7768724,
Филип II Македонски,Philip II of Macedon,null,null,null,null,null,1859114111,41.9984602,21.4349949,
Црква „Св. Недела“ - Теново,null,Христијанство,null,null,null,null,3039868345,41.8829405,20.9917833,
Свети Апостол и евангелист Лука,null,Христијанство,null,null,null,null,10174642572,41.8846784,22.5128835,
Sv. Mala Bogorodica,null,Христијанство,null,null,null,null,470410341,42.0385762,21.3307823,
VAM-304,null,null,null,null,null,null,8402562316,41.8668125,21.6650899,
Свети Димитриј,Saint Dimitrij,Христијанство,null,null,null,null,8850780300,41.0224151,21.2840092,
Карпалак,null,null,null,null,null,null,2598104053,41.3575814,21.6256855,
Успение на Пресвета Богородица,null,Христијанство,null,null,null,null,2535151449,41.5300004,20.5276097,
Теракота,null,null,null,null,null,null,5541143272,41.8845661,22.5039935,
Црква Св. Петка,null,Христијанство,null,null,null,null,9120699958,41.5618318,21.1908022,
Gradiste kaj s.Brazda,null,null,null,null,null,null,1734593430,42.0766913,21.398848,
Споменик „Солунски фронт“ од I светска војна,World War I Salonica Front memorial,null,null,null,null,null,5055444424,41.1949939,22.6878453,
Црква Св.Лидија,null,null,null,null,null,null,10926875205,41.0259399,21.3144015,
Христо Узунов,null,null,null,null,null,null,2851570672,41.483575,20.9222623,
Симиќева кула,Simikj Tower,null,null,null,null,null,5055455126,42.0786957,22.1794714,
Чешма Света Петка,null,null,null,null,null,null,7124138466,41.1825947,22.7233826,
Orthodox church,null,null,null,null,null,null,8842731717,41.9005865,21.6105665,
Ѓорче Петров,Gjorche Petrov,null,null,null,null,null,2189840958,41.3452617,21.5522173,
Фаќач на чесниот крст,null,null,null,null,null,null,8951219184,41.1119818,20.799333,
Давина Кула,Davina Kula,null,null,null,null,null,1475331129,42.0843452,21.3548716,
Manastir Sv. Spas,null,Христијанство,null,null,null,null,487144996,41.445737,21.9811109,
Св. Ѓорѓија,null,Христијанство,null,null,null,null,5601794412,41.3390523,22.2545875,
Св. Никола,null,Христијанство,null,null,null,null,1831247821,40.9142772,20.9879202,
Muslim mosque,null,Ислам,null,null,null,null,10049878740,42.2235516,21.700367,
Ерол Готак,null,null,null,null,null,null,7508523397,42.0227044,21.5486015,
Филип Втори,null,null,null,null,null,null,1857486060,42.0017233,21.4617772,
Куде сат,null,null,null,null,null,null,2136716883,42.1346962,21.7192303,
Christijanski Zentar,Church,Христијанство,null,null,null,null,6830542387,42.0013585,21.4167475,
Naim Frasheri,null,null,null,null,null,null,9927093810,41.8781835,20.8876605,
Кале,Kale,null,null,null,null,null,6418857588,41.0043725,20.9282003,
Круме Кепески,null,null,null,null,null,null,4575841428,41.3450704,21.5505634,
Боро Шаин,null,null,null,null,null,null,5551410938,41.1756537,20.6782194,
Манастир Св. Ѓорѓија,null,Христијанство,null,null,null,null,470409981,42.0690911,21.3001786,
Спомен куќа на Страшо Пинџур,Memorial house - Strasho Pindjur,null,null,null,null,null,2535153634,41.4184594,22.0181317,
Цар Самоил,Tsar Samuel,null,null,null,null,null,4149143991,41.9953917,21.4313414,
Ножот,null,null,null,null,null,null,2138788013,41.4293251,21.7629669,
Sveta Nedela,null,Христијанство,null,null,null,null,5020280587,41.949721,21.2914987,
Ali Pasha Mosque,null,Ислам,null,null,null,null,10994717547,41.1155093,20.8005313,
Света Борогодица Челница,Holy Mother of God Chelnichka,Христијанство,null,null,null,null,9219801017,41.1133728,20.7973177,
Меморијален центар АСНОМ,Memorial Center ASNOM,null,null,null,null,null,2024605291,42.2782511,21.8500367,
Мали Свети Врачи - Св. Кузман и Дамјан,null,Христијанство,null,null,null,null,9897124627,41.1135425,20.7967334,
Тодор Александров,null,null,null,null,null,null,4242928035,41.9834333,21.439106,
Загинати Лешочани во војните 1903-2001,null,null,null,null,null,null,9086030879,42.0668701,21.0285176,
Јосип Броз - Тито,null,null,null,null,null,null,1995790447,42.1355778,21.7194275,
Св. Недела,Holy Sunday Church,Христијанство,null,null,null,null,1088079205,41.8820608,22.3328605,
Свети Кирил и Методиј,Monuments of Saints Cyril and Methodius,null,null,null,null,null,2759253188,41.1120476,20.799994,
Sveti Nikola,null,Христијанство,null,null,null,null,10951320762,41.8848347,21.278329,
Борецот,null,null,null,null,null,null,4907386415,41.3738524,21.5025867,
Музеј на град Делчево,City Museum,null,null,null,null,null,3695988841,41.9664768,22.7729986,
Св. Талалеј,null,Христијанство,null,null,null,null,2016287616,41.3842763,22.2918792,
Josip Broz Tito,null,null,null,null,null,null,3713662739,41.9952169,21.426153,
Soldier with gun on horse,null,null,null,null,null,null,9200216072,41.9986089,21.4377285,
Методија Андонов - Ченто,null,null,null,null,null,null,6054048485,41.9957136,21.4306041,
Auto and etno museum "Filip",null,null,http://www.muzejkrklino.mk/en/,null,null,null,10932198705,41.0748026,21.3299172,
Кире Гаврилоски-Јане / Круме Волнароски-Коља,Kire Gavriloski-Jane / Krume Volnaroski-Kolja,null,null,null,null,null,8048135011,41.3464944,21.5629735,
Свети Пантелејмон,null,Христијанство,null,null,null,null,6274218923,41.715156,21.7874159,
Bargala,null,null,null,null,null,null,5725139643,41.7995125,22.289829,
Александар Македонски,null,null,null,null,null,null,3409068903,41.3421058,21.5572532,
Нико Нестор-Дживджан,null,null,null,null,null,null,10204019571,41.1757975,20.6778798,
Марко Мрњавчевиќ,Marko Mrnjavchevikj,null,null,null,null,null,4575831104,41.3455416,21.5532375,
Manastir Sveta Bogorodica,null,Христијанство,null,null,null,null,2026807108,41.8289199,21.6864385,
Sahat Kula,null,null,null,null,null,null,2026119373,41.794932,20.9108574,
Св. Стефан,St. Stephen,Христијанство,null,null,null,null,2051569337,41.0738678,20.8043628,
Galerija RA,Gallery RA,null,null,Mo-Sa 10:00-20:00,+389075435402,galerija.ra@gmail.com,7102244287,41.9989569,21.3865879,
Методија Андонов-Ченто,null,null,null,null,null,null,3409068904,41.3462544,21.5528281,
Sveti Spas,null,Христијанство,null,null,null,null,4674392389,42.0854161,21.4890684,
Веби Рушитоски,null,null,null,null,null,null,7564125590,41.9767893,21.1747438,
Света Ана,Saint Ana,Христијанство,null,null,null,null,8850804720,41.0274848,21.1120413,
Crkva Sv.Tripun,null,Христијанство,null,null,null,null,1475334320,42.0608563,21.3158452,
Xhemë Hasa,null,null,null,null,null,null,8901338319,41.7192252,20.881732,
St. Kozmo and Damjan,null,null,null,null,null,null,9870278517,41.1849403,20.8769171,
Ilin Kamen,null,null,null,null,null,null,3694922580,41.9769054,22.8193451,
Museum of Galichnik's cultural heritage,null,null,null,null,null,null,5833918548,41.5939237,20.652723,
Костоперска Карпа,null,null,null,null,null,null,1879436069,42.1706665,21.809838,
Lukov,null,null,null,null,null,null,1452854994,41.6346281,20.5620379,
Св. Пантелејмон,St. Pantelejmon,Христијанство,null,null,null,null,3705174923,41.9010303,22.7303965,
AXX110 / RA-42390,null,null,null,null,null,null,7473901313,41.1850048,20.7762352,
Павел Шатев,Pavel Šatev,null,null,null,null,null,9026624343,41.9945304,21.4326511,
Isar / Idomenae,null,null,null,null,null,null,2026975410,41.2775784,22.4937679,
Црква св. Jован,null,Христијанство,null,null,null,null,6690599185,42.2903563,22.0423694,
Ард ден Долард,Aard den Dolaard,null,null,null,null,null,5926438456,41.1057278,20.8078335,
Никола Карев,null,null,null,null,null,null,2269431831,41.9930188,21.4332009,
Ss. Cyril and Methodius – Црква Св.Кирил и Методиј,null,Христијанство,null,null,null,null,4551996521,41.7031608,20.7595909,
Сашо Китаноски,null,null,null,null,null,null,7564103282,41.977847,21.1773385,
Св.Пантелејмон,null,Христијанство,null,null,null,null,3786106917,41.6167785,22.3168135,
Манастир Св. Андреј,Monastery St. Andrej,Христијанство,null,null,null,null,1831180502,41.9505936,21.2991931,
џа́мија,null,Ислам,null,null,null,null,4247632191,41.8370625,20.8837497,
Света Петка,null,Христијанство,null,null,null,null,1855631088,41.9857725,21.4312278,
Мала Кула - Кучково,null,null,null,null,null,null,1475333182,42.0585741,21.2844339,
Џамија Хаџи-Дургут,Haji Durgut Mosque,Ислам,null,null,null,null,1207216943,41.1187289,20.8055843,
Кокино,null,Христијанство,null,null,null,null,850569973,42.2633818,21.953118,
Св. Атанас,null,Христијанство,null,null,null,null,1475331128,42.0500064,21.339328,
Deshmoret e Ushtrise Clirimtare Kombetare,null,null,null,null,null,null,9927105105,41.8782156,20.883467,
Наум Наумоски-Борче,Naum Naumoski-Borche,null,null,null,null,null,2330629820,41.3653856,21.2484409,
Јово Стефановски - Риле,null,null,null,null,null,null,5551410939,41.1755185,20.6781791,
Голема Пеш,Golema Pesht,null,null,null,null,null,11107939919,41.8117124,21.1617392,
Љубе Грујоски,Ljube Grujoski,null,null,null,null,null,6901630767,41.9772958,21.1694976,
Св. Архангел Гаврил,null,Христијанство,null,null,null,null,529411995,42.0234766,21.3427234,
City Museum,null,null,null,null,null,null,2578029313,42.2020133,22.3348959,
08.12.1941,null,null,null,null,null,null,8534237588,41.3435127,21.5549177,
Споменик на слободата,Monument of Freedom,null,null,null,null,null,444334991,41.158263,22.5006786,
Doma,null,null,null,null,null,null,5812672954,42.0169571,21.4434502,
Евангелско Методистичка Црква,United Methodist Church,null,http://emc.mk/%D0%B7%D0%B0-%D0%BD%D0%B0%D1%81/,null,null,null,6875520386,41.4373198,22.6353267,
Ѓоко Лазаревски,Gjoko Lazarevski,null,null,null,null,null,9080920713,42.0640097,21.0288552,
Sv. Krstovden,null,Христијанство,null,null,null,null,1734402559,42.0516811,21.3110834,
Дабнички масакр,Masacre of Dabnica,null,null,null,null,null,7475537800,41.3724643,21.5605466,
Пеце Секулоски,null,null,null,null,null,null,7564125591,41.977042,21.1770879,
1. Бригада,1st Brigade,null,null,null,null,null,8412381211,41.366045,20.6489384,
Дарко Велјаноски,null,null,null,null,null,null,7564125589,41.9770406,21.1717935,
Çulu Baba Teqe,null,Ислам,null,null,null,null,2026915603,41.5121875,20.9617402,
Св. Преображение,null,Христијанство,null,null,null,null,2381908566,40.9820235,21.7749801,
Nur,null,Ислам,null,null,null,null,11112639804,41.4666667,21.1244347,
Бранко Секулоски,null,null,null,null,null,null,7564103283,41.97753,21.1679024,
Споменик на Александар Македонски,Statue of Alexander the Great,null,null,null,null,null,908273421,41.9959035,21.4314474,
Манастир Св. Богородица Елеуса,Monastery of the Mother of God Eleusa,Христијанство,null,null,null,null,3263433907,41.4748537,22.5651714,
Вера Јоциќ,Vera Jocik,null,null,null,null,null,4477202789,42.0016804,21.4283664,
Св. Наум Охридски - Чудотворец,null,Христијанство,null,null,null,null,332045703,42.0111578,20.8825858,
Манастир Св. Никола,Monastery St. Nicholas,Христијанство,null,null,null,null,2016289389,41.7004213,21.0333308,
Hayati Baba Teqe,null,Ислам,null,null,null,null,2026906941,41.513223,20.9609726,
Споменик на загинатите евреи,null,null,null,null,null,null,4357166289,41.736405,22.1903758,
Church,null,null,null,null,null,null,4247659289,41.9187645,22.0642612,
2 musicians and one dancing man,null,null,null,null,null,null,6821158694,41.9943288,21.4307922,
Кица Петрески,Kica Petreski,null,null,null,null,null,8279921462,41.3653786,21.2488407,
Јустинијан I,Justinian I,null,null,null,null,null,4161113453,41.9968799,21.4323054,
Mosque,null,null,null,null,null,null,6814236614,41.976259,20.9558771,
Museum of illusions,null,null,null,null,null,null,6987611917,41.9962134,21.4291373,
Преспанско Советување,null,null,null,null,null,null,2545342051,40.9765203,20.9119981,
Manastir Svetog Ilije,null,Христијанство,null,null,null,null,9903663737,41.1334664,20.8473582,
Assumption of Mary,null,Христијанство,null,null,null,null,6079524190,42.021894,22.5882451,
Д-р Никола Незлобински,null,null,null,null,null,null,2279507279,41.1805738,20.6776078,
Марко Цепенков,null,null,null,null,null,null,4575841430,41.3451792,21.5505581,
Манастир Св. 15 Маченици,null,Христијанство,null,null,null,null,4817137480,41.4300424,22.6409328,
Duko Tasev,null,null,null,null,null,null,7771077503,41.4436592,20.8721449,
Даме Груев,Dame Gruev,null,null,null,null,null,4161113452,41.9964949,21.4321474,
Naser Ademi,null,null,null,null,null,null,9927105104,41.878351,20.8835051,
Црква „Рождество на Пресвета Богородица“ - Ново Лисиче,null,Христијанство,null,null,null,null,2884502204,41.9858681,21.4684081,
Крстева кула,Krste's Tower,null,null,null,null,null,5055432426,42.0768838,22.1826261,
Св. Архангел Михаил,null,Христијанство,null,null,null,null,1272929082,41.3070686,21.1873038,
Голема Кула - Кучково,null,null,null,null,null,null,1475333181,42.0587494,21.2786993,
Кула,Kula,null,null,null,null,null,3696656682,41.9425359,22.7954411,
Никола Кукунешоски - Дунѓерски,Nikola Kukuneshoski - Dungjerski,null,null,null,null,null,5551392390,41.1745272,20.6778868,
Атентат на Киро Глигоров,Atentat of Kiro Gligorov,null,null,null,null,null,9269907745,41.9918182,21.4296159,
Споменик на Малешевскиот (Малешки) народноослободителен одред,null,null,null,null,null,null,6349721704,41.7213441,22.6569551,
Музеј Галерија Кавадарци,Muzej Galerija Kavadarci,null,null,null,null,null,529811458,41.4343634,22.0163228,
Емин-бегова кула,Emin Bey Tower,null,null,null,null,null,5055432425,42.0769461,22.1823517,
Св. Наум,St. Naum,Христијанство,null,null,null,null,3696061335,41.9641339,22.7747523,
Museum of Wine,null,null,null,null,null,null,1999950866,41.4085959,22.2447656,
Струмица-Кристал-64,null,null,null,null,null,null,5098505521,41.4409796,22.6796979,
Масакр кај Пуста Кула,null,null,null,null,null,null,3418320912,41.822914,21.7360635,
Јаким Д Стојковски,null,null,null,null,null,null,10006874002,42.0001506,22.1778987,
Св. Илија,null,Христијанство,null,null,null,null,1804911443,41.8627557,21.9386585,
Manastir Svetka Petka,null,Христијанство,null,null,null,null,3175764807,42.0594793,21.509645,
Manastir Sveti Ilija,Monastery of Saint Ellyah,Христијанство,null,null,null,null,4059931649,41.812649,21.6647825,
Црква Света Петка,Saint Petka Church,Христијанство,null,null,null,null,1804963753,40.9131005,20.7415162,
Св. Атанасиј Велики,St. Athanasius,Христијанство,null,null,null,null,446094520,41.4708932,20.8897693,
Св. Симеон Столпник,null,Христијанство,null,null,null,null,2562687515,42.0143848,22.4743204,
Sv.Petka-Kuckovo,null,Христијанство,null,null,null,null,1735110375,42.0540808,21.3135461,
Мачка камен,Macka kamen,null,null,null,null,null,2829462221,42.0853984,21.9627449,
Мечкин Камен,Mechkin Kamen,null,null,null,null,null,410115784,41.3377228,21.257898,
Џамиа,Mosque,null,null,null,null,null,4418246291,41.9100745,20.9107938,
4 Halifët,null,Ислам,null,null,null,null,10077532395,41.5204992,20.951301,
Eтнолошки музеј,Ethnographic museum,null,null,null,null,null,5699016423,41.0240503,21.0506131,
Свети Наум,null,null,null,null,null,null,4351691820,40.9142149,20.7412554,
Кирил Петрушевски,null,null,null,null,null,null,7508523396,42.0225556,21.5480468,
Roman Bathhouse,null,null,null,null,null,null,5728312945,41.3825161,22.7542141,
Скендербег,Skanderbeg,null,null,null,null,null,1867151652,41.9993163,21.437162,
patarina-160,null,null,null,null,null,null,6136130988,41.9885405,21.2926787,
Blaže Koneski,null,null,null,null,null,null,8883349545,41.9960802,21.4408764,
Манастир Св. Леонтиј,St. Leontius Monastery,Христијанство,null,null,null,null,3263474161,41.4505759,22.5902413,
Саат кула,null,null,null,null,null,null,2026911763,41.7140782,21.7840512,
Црква „Св. Апостоли Петар и Павле“,Saints Peter and Paul the Apostles Church,null,null,null,null,null,2887575436,41.9644772,21.4936632,
Музеј на град Берово,Berovo Town Museum,null,http://www.berovo.gov.mk/index.php?option=com_content&view=article&id=76&Itemid=117,null,null,null,478699817,41.7077548,22.8566138,
Црква „Свети Спас“,null,Христијанство,null,null,+389 77 899 580,null,5469827562,41.1817025,20.7932588,
Мирослав Јоксимовиќ,Miroslav Joksimovikj,null,null,null,null,null,8193704891,41.3761727,21.2464617,
Слива,null,null,null,null,null,null,410115785,41.3880768,21.2273776,
Нане Наумоски,null,null,null,null,null,null,7564103281,41.9764851,21.1660504,
